metric,total_latency_ms,decomposer_ms,retriever_ms,synthesizer_ms,overhead_ms
mean,55573.235193888344,27773.8463083903,0.08742014567057292,27533.810138702393,265.4913266499837
median,55260.78128814697,27778.04183959961,0.1010894775390625,27541.12696647644,-72.61538505554199
std,587.618589948831,20.79339448247186,0.0349666132772879,15.517093171424664,597.4877402018285
min,55207.85403251648,27751.275062561035,0.0476837158203125,27515.987396240234,-86.27629280090332
max,56251.07026100159,27792.222023010254,0.11348724365234375,27544.316053390503,955.3656578063965
p95,56152.041363716125,27790.80400466919,0.11224746704101562,27543.997144699097,852.5675535202025
p99,56231.264481544495,27791.93841934204,0.11323928833007812,27544.25227165222,934.8060369491577
pass_rate,0.0,,,,
