Strategy,Accuracy (%),Correct,Total,Avg Time (s),Avg Steps,Avg Retrieves,Avg Reasons,Total Time (min)
MDP_Guided,60.0,12,20,16.409853088855744,4.0,4.0,0.0,5.469951029618581
Always_Reason,60.0,12,20,49.47741972208023,4.0,0.0,4.0,16.49247324069341
