episode,total_reward,final_U,final_quality,total_cost,num_steps,retrieve_count,reason_count,terminated
27,-2.4358581800212438,0.9999999999999999,0.9241418199787566,2.1,14,8,5,True
28,-1.038884821977137,0.69,0.7211151780228631,1.1,8,4,3,True
29,-1.5418510649004884,0.8599999999999999,0.8581489350995121,1.5000000000000002,12,4,7,True
30,-1.4758581800212438,1.0,0.9241418199787566,1.5000000000000002,12,4,7,True
31,-1.155858180021244,1.0,0.9241418199787566,1.3000000000000003,11,3,7,True
32,-0.9144652650835349,0.8399999999999999,0.8455347349164652,1.1,8,4,3,True
33,-1.6358581800212435,1.0,0.9241418199787566,1.6,10,7,2,True
34,-1.7958581800212436,1.0,0.9241418199787566,1.7000000000000002,12,6,5,True
35,-0.9144652650835349,0.84,0.8455347349164652,1.1,8,4,3,True
36,-1.7958581800212443,1.0,0.9241418199787566,1.7000000000000006,13,5,7,True
37,-2.115858180021244,1.0,0.9241418199787566,1.9000000000000004,15,5,9,True
38,-1.0289414213699952,0.7,0.7310585786300049,1.1,9,3,5,True
39,-1.3489414213699948,0.7000000000000001,0.731058578630005,1.2999999999999998,10,4,5,True
40,-1.7958581800212439,0.9999999999999998,0.9241418199787563,1.7000000000000002,12,6,5,True
41,-1.0243312231190016,0.9299999999999998,0.8956687768809986,1.2000000000000002,10,3,6,True
42,-0.7089414213699949,0.7,0.7310585786300049,0.8999999999999999,8,2,5,True
43,-1.4758581800212438,1.0,0.9241418199787566,1.5000000000000002,13,3,9,True
44,-1.6740523812797905,0.91,0.8859476187202091,1.5999999999999999,10,7,2,True
45,-1.4758581800212438,1.0,0.9241418199787566,1.5000000000000002,12,4,7,True
46,-0.8778234991142019,0.55,0.5621765008857982,0.9,8,2,5,True
47,-1.635858180021243,1.0,0.9241418199787566,1.5999999999999999,11,6,4,True
48,-1.1558581800212435,1.0,0.9241418199787566,1.3,11,3,7,True
49,-0.9543436937742047,0.6199999999999999,0.6456563062257953,1.0,8,3,4,True
50,-1.1558581800212435,1.0,0.9241418199787566,1.3,10,4,5,True
51,-1.4758581800212434,1.0,0.9241418199787566,1.5,12,4,7,True
52,-2.595858180021243,1.0,0.9241418199787566,2.1999999999999997,13,10,2,True
53,-1.5611089495765853,0.8300000000000001,0.8388910504234147,1.5,9,7,1,True
54,-1.7958581800212436,1.0,0.9241418199787566,1.7000000000000002,13,5,7,True
55,-1.117816111441419,0.7799999999999999,0.8021838885585817,1.2000000000000004,10,3,6,True
56,-1.5480471980316892,0.85,0.8519528019683106,1.5,11,5,5,True
