episode,total_reward,final_U,final_quality,total_cost,num_steps,retrieve_count,reason_count,terminated
61,-1.1558581800212435,1.0,0.9241418199787566,1.3,14,0,13,True
62,-1.1558581800212435,1.0,0.9241418199787566,1.3,14,0,13,True
63,-1.1558581800212435,1.0,0.9241418199787566,1.3,14,0,13,True
64,-1.1558581800212435,1.0,0.9241418199787566,1.3,14,0,13,True
65,-1.1558581800212435,1.0,0.9241418199787566,1.3,14,0,13,True
66,-1.1558581800212435,1.0,0.9241418199787566,1.3,14,0,13,True
67,-1.1558581800212435,1.0,0.9241418199787566,1.3,14,0,13,True
68,-1.1558581800212435,1.0,0.9241418199787566,1.3,14,0,13,True
69,-1.1558581800212435,1.0,0.9241418199787566,1.3,14,0,13,True
70,-1.1558581800212435,1.0,0.9241418199787566,1.3,14,0,13,True
71,-1.1558581800212435,1.0,0.9241418199787566,1.3,14,0,13,True
72,-1.1558581800212435,1.0,0.9241418199787566,1.3,14,0,13,True
73,-1.1558581800212435,1.0,0.9241418199787566,1.3,14,0,13,True
74,-1.1558581800212435,1.0,0.9241418199787566,1.3,14,0,13,True
75,-1.1558581800212435,1.0,0.9241418199787566,1.3,14,0,13,True
76,-1.1558581800212435,1.0,0.9241418199787566,1.3,14,0,13,True
77,-1.1558581800212435,1.0,0.9241418199787566,1.3,14,0,13,True
78,-1.1558581800212435,1.0,0.9241418199787566,1.3,14,0,13,True
79,-1.1558581800212435,1.0,0.9241418199787566,1.3,14,0,13,True
80,-1.1558581800212435,1.0,0.9241418199787566,1.3,14,0,13,True
81,-1.1558581800212435,1.0,0.9241418199787566,1.3,14,0,13,True
82,-1.1558581800212435,1.0,0.9241418199787566,1.3,14,0,13,True
83,-1.1558581800212435,1.0,0.9241418199787566,1.3,14,0,13,True
84,-1.1558581800212435,1.0,0.9241418199787566,1.3,14,0,13,True
85,-1.1558581800212435,1.0,0.9241418199787566,1.3,14,0,13,True
86,-1.1558581800212435,1.0,0.9241418199787566,1.3,14,0,13,True
87,-1.1558581800212435,1.0,0.9241418199787566,1.3,14,0,13,True
88,-1.1558581800212435,1.0,0.9241418199787566,1.3,14,0,13,True
89,-1.1558581800212435,1.0,0.9241418199787566,1.3,14,0,13,True
90,-1.1558581800212435,1.0,0.9241418199787566,1.3,14,0,13,True
91,-1.1558581800212435,1.0,0.9241418199787566,1.3,14,0,13,True
92,-1.1558581800212435,1.0,0.9241418199787566,1.3,14,0,13,True
93,-1.1558581800212435,1.0,0.9241418199787566,1.3,14,0,13,True
94,-1.1558581800212435,1.0,0.9241418199787566,1.3,14,0,13,True
95,-1.1558581800212435,1.0,0.9241418199787566,1.3,14,0,13,True
96,-1.1558581800212435,1.0,0.9241418199787566,1.3,14,0,13,True
97,-1.1558581800212435,1.0,0.9241418199787566,1.3,14,0,13,True
98,-1.1558581800212435,1.0,0.9241418199787566,1.3,14,0,13,True
99,-1.1558581800212435,1.0,0.9241418199787566,1.3,14,0,13,True
