U,V,Q_retrieve,Q_reason,Q_terminate
0.0,0.07585818002124355,-0.07293885530999142,0.009490147761157391,0.07585818002124355
0.010101010101010102,0.07947549039639386,-0.06729082278513238,0.014512480532223065,0.07947549039639386
0.020202020202020204,0.08324975418312877,-0.06143416137347402,0.0197342133148852,0.08324975418312877
0.030303030303030304,0.08718628012245411,-0.0553648931059067,0.025160399574997133,0.08718628012245411
0.04040404040404041,0.09129041153096042,-0.04907929373117162,0.0307959543938309,0.09129041153096042
0.05050505050505051,0.09556751068421336,-0.04257392451801259,0.036645624896061685,0.09556751068421336
0.06060606060606061,0.10002294157180533,-0.035845664884264744,0.04271395897634464,0.10002294157180533
0.07070707070707072,0.10466205096672701,-0.028891745652369127,0.04900527240519359,0.10466205096672701
0.08080808080808081,0.1094901477611574,-0.021709782703225794,0.055523614422784945,0.1094901477611574
0.09090909090909091,0.11451248053222307,-0.01429781077302461,0.06227273195941055,0.11451248053222307
0.10101010101010102,0.11973421331488521,-0.006654317111278341,0.06925603265336727,0.11973421331488521
0.11111111111111112,0.12516039957499714,0.0012217253066604261,0.0764765468707718,0.12516039957499714
0.12121212121212122,0.1307959543938309,0.009330825342131893,0.08393688896674775,0.1307959543938309
0.13131313131313133,0.1366456248960617,0.017672942380279333,0.09163921806313383,0.1366456248960617
0.14141414141414144,0.14271395897634465,0.026247456507740047,0.09958519865373253,0.14271395897634465
0.15151515151515152,0.1490052724051936,0.03505314055916858,0.10777596138346715,0.1490052724051936
0.16161616161616163,0.15552361442278495,0.04408813441819148,0.11621206438186926,0.15552361442278495
0.17171717171717174,0.16227273195941055,0.05334992196021249,0.12489345556322301,0.16227273195941055
0.18181818181818182,0.16925603265336728,0.0628353110202251,0.13381943633451615,0.16925603265336728
0.19191919191919193,0.1764765468707718,0.07254041675798406,0.14298862717711805,0.1764765468707718
0.20202020202020204,0.18393688896674776,0.08246064877522019,0.15239893558780118,0.18393688896674776
0.21212121212121213,0.19163921806313383,0.09259070231485605,0.1620475268783381,0.19163921806313383
0.22222222222222224,0.19958519865373253,0.1029245538403874,0.1719307983394436,0.19958519865373253
0.23232323232323235,0.20777596138346716,0.1134554612548917,0.18204435727336574,0.20777596138346716
0.24242424242424243,0.21621206438186927,0.12417596897387906,0.19238300338912764,0.21621206438186927
0.25252525252525254,0.22489345556322302,0.13507791801495012,0.20294071603459277,0.22489345556322302
0.26262626262626265,0.23381943633451616,0.14615246121073128,0.21371064670964648,0.23381943633451616
0.27272727272727276,0.24298862717711806,0.15739008359072743,0.22468511726456555,0.24298862717711806
0.2828282828282829,0.2523989355878012,0.16897091940291858,0.23585562413702274,0.2523989355878012
0.29292929292929293,0.2620475268783381,0.18068090943836385,0.24721284892038234,0.2620475268783381
0.30303030303030304,0.2719307983394436,0.19243328386918507,0.25874667548550223,0.2719307983394436
0.31313131313131315,0.28204435727336574,0.2042157161101273,0.2704462137990261,0.28204435727336574
0.32323232323232326,0.29238300338912765,0.2160158338144717,0.28229983049426166,0.29238300338912765
